words,PERSON,NORP,FACILITY,ORGANIZATION,GPE,LOCATION,PRODUCT,EVENT,WORK_OF_ART,LAW,LANGUAGE,DATE,TIME,PERCENT,MONEY,MEASUREMENT,ORDINAL,CARDINAL,MISC,PUNC,O
جامعه روحانیت مبارز,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
علف به دهن بز,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
مسئولین چند پُسته,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
استعفا دهید,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
مسئولین,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
چ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"""""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
آدم,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
محترم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
مودب,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
لات,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
به‌,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
معنی,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
تسلیم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ذلت,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
»,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
مردم ایران,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
به خاطر,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
د,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
مشاوره حقوقی,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
می‌خواستم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
حقوق‌دانا,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
کجای,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
توییترن,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
می‌شینن,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
منشن نکنین,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
پند,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
نصایح,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
مسائل,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
مربوط,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
عرفان,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
مسئولینشان,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
نمایندگان,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
خداوند,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
هستش,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
اگر,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
آقای روحانی,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
مریم خانمتون,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
آمریکا,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
مشکلی,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
امام خمینی,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
نعیمه اشراقی,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
نوه تون,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
فکرکنم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ماه,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
چندهزار دلار,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
کم آوردن,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
حوزه علمیه,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
گفته,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
نود درصد,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
بیکار,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
هستن,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
حالا,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ده درصد,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
نیروهاشون,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
