words,PERSON,NORP,FACILITY,ORGANIZATION,GPE,LOCATION,PRODUCT,EVENT,WORK_OF_ART,LAW,LANGUAGE,DATE,TIME,PERCENT,MONEY,MEASUREMENT,ORDINAL,CARDINAL,MISC,PUNC,O
نه,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
خامنه ای,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
و,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
روحانی,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
روحانی,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
هیچ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
آخوند,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
دیگه ای,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
وجدان,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ندارن,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
روحانی,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
فقط,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
فکر,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
پر کردن جیب,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
خودش,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
هست,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
